,Time,IP1,IP2,Protocol,Pkt-size
1,0,74.125.250.44,172.16.155.40,UDP,100
2,0.001059,74.125.250.44,172.16.155.40,UDP,140
3,0.002284,172.16.155.40,74.125.250.44,UDP,84
4,0.004629,74.125.250.44,172.16.155.40,UDP,135
5,0.010151,172.16.155.40,74.125.250.44,UDP,100
6,0.02316,74.125.250.44,172.16.155.40,UDP,1042
7,0.02417,74.125.250.44,172.16.155.40,UDP,130
8,0.047141,74.125.250.44,172.16.155.40,UDP,132
9,0.054328,172.16.155.40,74.125.250.44,UDP,84
10,0.059386,74.125.250.44,172.16.155.40,UDP,1136
11,0.06482,74.125.250.44,172.16.155.40,UDP,128
12,0.084597,74.125.250.44,172.16.155.40,UDP,130
13,0.094612,74.125.250.44,172.16.155.40,UDP,97
14,0.105213,172.16.155.40,74.125.250.44,UDP,84
15,0.105217,74.125.250.44,172.16.155.40,UDP,126
16,0.115076,74.125.250.44,172.16.155.40,UDP,774
17,0.116082,74.125.250.44,172.16.155.40,UDP,115
18,0.116082,74.125.250.44,172.16.155.40,UDP,81
19,0.117903,74.125.250.44,172.16.155.40,UDP,81
20,0.123997,74.125.250.44,172.16.155.40,UDP,125
21,0.142527,74.125.250.44,172.16.155.40,UDP,930
22,0.145105,74.125.250.44,172.16.155.40,UDP,931
23,0.1561,172.16.155.40,74.125.250.44,UDP,88
24,0.161301,74.125.250.44,172.16.155.40,UDP,130
25,0.178497,74.125.250.44,172.16.155.40,UDP,85
26,0.198904,74.125.250.44,172.16.155.40,UDP,518
27,0.207051,172.16.155.40,74.125.250.44,UDP,84
28,0.217721,172.16.155.3,224.0.0.2,HSRP,62
29,0.249097,74.125.250.44,172.16.155.40,UDP,144
30,0.268835,74.125.250.44,172.16.155.40,UDP,669
31,0.281209,74.125.250.44,172.16.155.40,UDP,170
32,0.286389,74.125.250.44,172.16.155.40,UDP,169
33,0.291955,74.125.250.44,172.16.155.40,UDP,876
34,0.30564,74.125.250.44,172.16.155.40,UDP,166
35,0.307819,172.16.155.40,74.125.250.44,UDP,84
36,0.323835,74.125.250.44,172.16.155.40,UDP,176
37,0.335304,172.16.155.40,74.125.250.44,UDP,100
38,0.337391,74.125.250.44,172.16.155.40,UDP,901
39,0.338883,74.125.250.44,172.16.155.40,UDP,901
40,0.34406,74.125.250.44,172.16.155.40,UDP,177
41,0.351454,172.16.155.40,74.125.250.44,UDP,113
42,0.356948,172.16.155.40,142.251.42.46,TLSv1.2,395
43,0.356976,172.16.155.40,142.251.42.46,TLSv1.2,459
44,0.357985,142.251.42.46,172.16.155.40,TCP,60
45,0.357985,142.251.42.46,172.16.155.40,TCP,60
46,0.358727,172.16.155.40,74.125.250.44,UDP,84
47,0.365387,74.125.250.44,172.16.155.40,UDP,164
48,0.371501,172.16.155.40,74.125.250.44,UDP,81
